Rank,Title,Author,Rating,Rating Count,Score,People Voted,Image
101,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,3943662,289870,3264,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627044952i/58613424._SY75_.jpg
102,Atlas Shrugged,Ayn Rand,3.69,398603,260143,2861,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662._SY75_.jpg
103,"The Notebook (The Notebook, #1)",Nicholas Sparks (Goodreads Author),4.16,1772892,259991,2925,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131._SY75_.jpg
104,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,472885,254683,2983,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107._SY75_.jpg
105,Fahrenheit 451,Ray Bradbury,3.96,2602521,250289,2751,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351643740i/4381._SY75_.jpg
106,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3465389,246712,2824,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627043894i/58613345._SY75_.jpg
107,"Moby-Dick or, The Whale",Herman Melville,3.56,589085,230660,2648,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656i/153747._SY75_.jpg
108,A Prayer for Owen Meany,John Irving (Goodreads Author),4.24,328447,220080,2419,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260470010i/4473._SY75_.jpg
109,The Stranger,Albert Camus,4.03,1232836,200459,2272,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002i/49552._SY75_.jpg
110,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare (Goodreads Author),4.31,854310,200021,2195,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693490271i/7171637._SY75_.jpg
111,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4209771,195703,2309,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881._SY75_.jpg
112,The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),4.10,1322542,189183,2167,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628532099i/37435._SY75_.jpg
113,The Red Tent,Anita Diamant (Goodreads Author),4.20,615268,185581,2078,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989._SY75_.jpg
114,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss (Goodreads Author),4.52,1020904,183888,1956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704917687i/186074._SY75_.jpg
115,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,4236459,182910,2122,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907._SY75_.jpg
116,The Metamorphosis,Franz Kafka,3.89,1252521,181643,2107,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646444605i/485894._SY75_.jpg
117,The Master and Margarita,Mikhail Bulgakov,4.29,383518,178686,1945,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867963i/117833._SY75_.jpg
118,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini (Goodreads Author),3.96,1860863,165617,1887,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436._SX50_.jpg
119,The Count of Monte Cristo,Alexandre Dumas,4.31,960447,165597,1885,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1724863997i/7126._SY75_.jpg
120,A Story of Yesterday,Sergio Cobo,4.55,14503,164597,1646,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630609122i/58913358._SY75_.jpg
121,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan (Goodreads Author),4.55,1079477,163049,1850,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1723393514i/4556058._SY75_.jpg
122,The Very Hungry Caterpillar,Eric Carle,4.34,528624,162215,1886,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948._SX50_.jpg
123,Looking for Alaska,John Green (Goodreads Author),3.96,1680427,162051,1777,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652042180i/99561._SY75_.jpg
124,Middlesex,Jeffrey Eugenides,4.04,650886,160864,1800,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437029776i/2187._SY75_.jpg
125,The Adventures of Tom Sawyer,Mark Twain,3.92,975005,159841,1970,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979i/24583._SY75_.jpg
126,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,886684,159785,1914,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310._SY75_.jpg
127,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,2960640,156926,1925,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915._SY75_.jpg
128,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1537604,154592,1778,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618._SY75_.jpg
129,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.30,675019,154450,1712,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628791882i/1232._SY75_.jpg
130,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom (Goodreads Author),4.19,1104557,151981,1734,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900._SY75_.jpg
131,The Unbearable Lightness of Being,Milan Kundera,4.11,505761,149173,1674,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265401884i/9717._SY75_.jpg
132,The Name of the Rose,Umberto Eco,4.14,379280,147689,1716,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415375471i/119073._SY75_.jpg
133,"Holes (Holes, #1)",Louis Sachar (Goodreads Author),4.01,1287040,146954,1738,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618269830i/38709._SX50_.jpg
134,On the Road,Jack Kerouac,3.61,428401,146723,1670,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658929891i/70401._SY75_.jpg
135,Where the Red Fern Grows,Wilson Rawls,4.12,423554,143804,1672,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518702249i/10365._SY75_.jpg
136,"The Godfather (The Godfather, #1)",Mario Puzo,4.39,441583,143771,1695,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109i/22034._SY75_.jpg
137,In Cold Blood,Truman Capote,4.09,692941,142294,1687,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424931136i/168642._SY75_.jpg
138,Perfume: The Story of a Murderer,Patrick Süskind,4.04,508670,141946,1611,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343._SY75_.jpg
139,"Six of Crows (Six of Crows, #1)",Leigh Bardugo (Goodreads Author),4.47,1049496,141383,1506,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156._SY75_.jpg
140,The Scarlet Letter,Nathaniel Hawthorne,3.44,889895,139344,1729,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944i/12296._SY75_.jpg
141,Fight Club,Chuck Palahniuk (Goodreads Author),4.18,617090,137978,1591,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124._SY75_.jpg
142,American Gods,Neil Gaiman (Goodreads Author),4.11,965724,137625,1559,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203._SY75_.jpg
143,The Five People You Meet in Heaven,Mitch Albom (Goodreads Author),4.00,755617,134209,1541,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541i/3431._SX50_.jpg
144,Watchmen,Alan Moore (Goodreads Author),4.38,576362,133177,1508,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711i/472331._SY75_.jpg
145,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,162050,132623,1563,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657540227i/6656._SY75_.jpg
146,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,563641,131903,1629,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093._SX50_.jpg
147,All Quiet on the Western Front,Erich Maria Remarque,4.09,486268,131131,1530,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632027397i/355697._SY75_.jpg
148,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.26,792650,128931,1453,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067._SY75_.jpg
149,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick (Goodreads Author),3.92,725983,128133,1418,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664._SY75_.jpg
150,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36,155234,127837,1512,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577932823i/114345._SX50_.jpg
